queue_index,suggested_session,dataset,slug,split,species,taxon_id,observation_uuid,photo_id,sha256,selection_digest,review_order_digest
10,1,northeast_expansion_v1,camponotus-novaeboracensis,train,Camponotus novaeboracensis,143252,7b72262d-6747-4c9f-a151-5e7b4e1c5cbf,381642001,7662e35c2484d99e68cb52f2f6c49587452aec319c893a95c8535034571c866a,03214114225cafefe5c8563edfe1c5ce8d43b54f51a0a5c4c883cebb1cc4b678,069afe97d71f86692da4c070a8b89450631f76615079b0e59c95323a8b1ddaba
11,1,northeast_final_test_v1,camponotus-nearcticus,final_test,Camponotus nearcticus,146942,21e89173-a16e-4743-852c-de3ed4357dde,24216798,d1e98e8053902c1099ad5581ef9a8ef93329aafa6f6c878598fbb0e45951ebc3,58d988e96e6de4ba9c9d64d830b657c053f30b7f9d583a29af1fc19ef89beb2a,06a7f0639b515077390011c87c5d0b0c6737562a63395102e4a780015e986e7a
12,1,northeast_final_test_v1,ponera-pennsylvanica,final_test,Ponera pennsylvanica,203419,8b18155c-bbb2-492b-aec8-1acabb5ea53c,501953848,cc4b10c4216e2a6640defed83a7f47fd54fa72b0861dd78f7da78148b3afdf4e,f3b28504a5629fe228bedb8365d8a9afff2bc2944637a71154c67a9f46af4a0b,0702aec6966e0c362452c61db95812301b3856db918dd750a473dd14e288f5aa
13,1,northeast_final_test_v1,camponotus-nearcticus,final_test,Camponotus nearcticus,146942,02872328-7016-4d68-8711-653b3840bbe9,639345694,0c70ed1f8730f38e1328e938751427a8ddce05fb4772058f68ed720676eb9d67,ba58a5d999bb88ddfe03bcc4040ee52aa6b2b0260408e6eeb65ebaed26355026,083b8e6590017f9dcb1855228096bbc2e97bf44718d3a5111ee76be3a11f2e8e
14,1,northeast_expansion_v1,nylanderia-flavipes,train,Nylanderia flavipes,372712,dd9e1812-5c10-4a0d-b576-5d95d30780bb,40884902,27d2ff0c0b8ecc6eb1af2064c7e4af26a401ef0767afd9984788ea50775eb682,03177e8896889d486d5c806aaa22263f2f163299c0fe7e121b1ed0fae1d736d0,08cecc99994bcb72a0d3f290895ef85826ba06beca6eb1399a76cc58704681c3
15,1,northeast_final_test_v1,lasius-aphidicola,final_test,Lasius aphidicola,1032788,2d929dac-b0f8-49d7-80d0-785be489c488,158245197,879746a9f3afbf83d8a20625f64393afc8fe610cf9fe5d9c31c4f21384b0095e,02d561321fdd6684f440c946dd86c1161108e4d95c35b706902bc4a78c43b13a,09f9a46e729d79703205836ae847fcc89ffbbff96f0725a06d7463b45bdf9fd5
16,1,northeast_final_test_v1,camponotus-novaeboracensis,final_test,Camponotus novaeboracensis,143252,943d988d-fd26-4af6-ab89-ed1cc869529e,381912332,3bfcd25af6d79598d00fc7cf9e447910b75f69aeec98442e6d31e9c4fdf9c072,1032e1c6c387c219fcf0497b4f27ee5b7e9fbd2209661fba2cd875006aec8380,0a0e235c0982405efefe7ccf73ebb22a1ef528794ec25b2c971d7f00196db775
17,1,northeast_final_test_v1,camponotus-nearcticus,final_test,Camponotus nearcticus,146942,19b44a70-f351-48be-957c-de6c202cc310,401709726,19a4e06216dec7537bbf372d49a769a93288319e8ed4c0605db828fe08124646,61943bdeebf986551e59c9277535eb9fd8e61dc5b3f36f7cca004bc7836394d1,0a4bb3e1d4d87b293058fe938ad6a0ab9eb77fd83dfc08ae54c0eec760b2f775
18,1,northeast_final_test_v1,lasius-aphidicola,final_test,Lasius aphidicola,1032788,81e76cd8-6815-4665-a557-d25bab8696d6,403390911,70a44b12516a13786bcd8d729e267dfb4f623062a115d6df98f318f7935a8718,9d2de34e817317887958ea5c67739e420c29106f4f8f5bdf8282b1c62ed9de9e,0b064305a43fdc17db4dd7a44950466e843cfab3ce9a9699d7d922a3d53fd954
19,1,northeast_expansion_v1,lasius-americanus,development,Lasius americanus,966095,b0b53f57-005d-40b7-a85e-758ae01b260f,281478594,8567d47482dfd0d9bd0760485932a61e93dd3e126d322cd3ef25519a2c9511c7,16fcc971e72f1b5134efebbc1088a338384968698a6f0bd8b06742f8349aa27d,0b868095e9921b285424062e1a12dcc3585ec1dac940196e08dc952a51553255
20,1,northeast_final_test_v1,camponotus-novaeboracensis,final_test,Camponotus novaeboracensis,143252,a1d2aa4f-8ed9-4cd7-b6b2-0feb432ff6b5,435608559,6a643bed5750c304e3d750fa23b99c7bc35dc5cc9530501d4434691d047a323a,9fa7ca76a9ff197e40184f210380f2c41fd4e511bcf8cece21934b241d284d57,0c55951ae692dd11837bda3d8ab0c9483719597a77d01c80925ef29c68cf2b3e
21,1,northeast_final_test_v1,lasius-emarginatus,final_test,Lasius emarginatus,341143,39a3b268-509a-4fa4-9149-bc02967fc706,17687430,f9f584681163a2cdc133e13709b3afcf9c62d799a69a57c662fcc659b0026e21,e578063991b5ed484eb867d11c2cb8af21d51794cb0ef0abb501a6ca01c84f52,0c5aaa0682458ebe22a0eadc2cf82c3f99f2a318a50bd4669a19456f976ea12c
22,1,northeast_final_test_v1,lasius-interjectus,final_test,Lasius interjectus,222713,8ce83dff-1ba3-4b94-84f6-3e94cf514c87,330880864,f872d97f0e9cdba18311a35c008fe6af93cc6062f85d5995c3c34f70ffba8063,ffbdf741b8e9684321eff670b1ea915ddec3ce2a55560dd7c07aabf5cf5541f4,0cb41ed42b2d884c48fce3fe1f57b30ba8d27b80e552fc3bf439e9f9f5c8a95d
23,1,northeast_expansion_v1,camponotus-novaeboracensis,development,Camponotus novaeboracensis,143252,fea6a83f-4414-4b0a-aec5-36a08d70bc44,679394859,762613115b40e28f4f38b54a289904ae693d7b10a84be6d5e2f37b9bfc40c152,138a861500a24bfe70f44adcba0c6314d893cb5e11ad93f2584c2d1a15ee7e31,0dc4b22f03e11708ab66d8917f10e9a5a44c3ab1bce14e2471693a4907fd8ba2
24,1,northeast_final_test_v1,lasius-americanus,final_test,Lasius americanus,966095,5d9f4b9a-dd73-4759-a2fd-e876ae503258,285729271,065c7fa2a02ef76134b28a55215c7be59d6127e589241f92606b2b793afa0e98,a79d6c72d784c66d1b1e28e00ffc9d56c7c6e2604158126d0d02c3a8a3acfc01,0e0816835ab27d136412f7253e18f5a78eb821ac64e661021fdfcc4cd4ceae03
25,1,northeast_final_test_v1,lasius-americanus,final_test,Lasius americanus,966095,5def0735-cd96-4d29-b339-31afebbe71b6,520413997,fada4877ffe718e47518585dc3949dea0b510531121f41dd9cb5df64e14bf3b8,7293badee26cea6bf32516435f75cf888aa1622a485a0430a338c2f632d9e35d,0f1396aa464d4189efa4c095ad3cb5e3d46dd9a58350cbde975c03a634007327
26,1,northeast_final_test_v1,lasius-emarginatus,final_test,Lasius emarginatus,341143,fa875cc5-5ab7-4d0c-8529-4fc31ff3933c,259558479,d0cf3a299409cdff680c931be32b59825d7a156e064cffbcd5491fcc94ce7307,fcde3b8a6c13fd4a1a6093d6d270e0ecc69dc239c1ee3393a3ba4eac906b686f,0ffd8f63c030ac5a2638c74b213fbaf7bd3ecde15a06365d78b4c4f4de3d1a20
27,1,northeast_final_test_v1,camponotus-novaeboracensis,final_test,Camponotus novaeboracensis,143252,bc4dba2c-7665-40a0-bc94-67f8a2f743f2,522226798,88907189ab96b41630353109d9054782a9e3c7ccf3e6803d3a4d512dea291350,8a8802836264e19fbafea20fbbb4eec71f89f60602798264ba47cdc5d4209e85,1105ccda386de5d71d105ba0a6f56135e47336112c74734a5c7792943cf9f243
28,1,northeast_final_test_v1,temnothorax-curvispinosus,final_test,Temnothorax curvispinosus,232366,691057d1-d816-469c-a279-d4cc52bac2ab,229600526,22dd27c5c39bfab702bb02db9a3108050c7dab9e000bd225f90ed07f0d2426cd,b6ebdad39922038ef2730366c0bef2cc5671e71181577253d1fb16ee91aca107,1116baef7d833dad2c85a332a01aca93e24aa346a067e405db1c43d901b55043
29,1,northeast_final_test_v1,lasius-aphidicola,final_test,Lasius aphidicola,1032788,5b651b3a-40bf-4af1-9e04-94fb0a09e3ad,267185763,9a5803aaaa28465a3d927d939b18d8ef6dc5dd061b527a47f686d54bd7290fec,d3e04dc26871515e20810445dd2e93c66eae18ff60aea38b8f50c8b297a892fc,11f12cda592395a080775a6dc6e9e64a70cac64562fc6ed06dd616393ada688b
30,1,northeast_final_test_v1,lasius-americanus,final_test,Lasius americanus,966095,3b487443-1b84-4a8f-bf0d-68d8b8ccc404,411639605,d359b268eee9ce3bd165b31574a20a70307eb3edff96ab841da68bb9a1c5fcb8,782da499b69dc2c45839604cbee63fad6ad6e664a0594eb0aab4300e12832efe,12123d4cde86a00359f56155247133542d29b0d4660eb02fd33d205e41887a76
31,1,northeast_final_test_v1,nylanderia-flavipes,final_test,Nylanderia flavipes,372712,c782194a-a9d1-458c-8dd5-89bdac7b7647,355108551,d208c0a3177a2cf8ce81240df7f3bb15649e70bfb58064118d73e393f8590936,d42869c3933f9e4749bdc35cd82a64e7329bfe3bac6153ef809a0b7b21a6e06f,12cccd51f75208cce409d738414d1165f7b1601a79e8e15977f4b063b20c123f
32,1,northeast_expansion_v1,aphaenogaster-rudis,development,Aphaenogaster rudis,213893,c334d8ad-9a86-467f-b671-a018787a4608,306866742,964b2cd76f64d867e04df32e0501fe5c4f44af8e8dc0be7d0ecef1bfa5fc7bf3,12be29e17a843610eaac48248ac3652864ce72c3d129851823dafe7e2fdd406b,12f0babc1e5ca7633a53fe039cd492eaf73c3e0be962a5c596667e196ff2576e
33,1,northeast_final_test_v1,camponotus-subbarbatus,final_test,Camponotus subbarbatus,143505,63c30635-94f1-4532-b9af-8b27e1372bb4,210641203,990e93fc210b848d39715c652a4bef82b1ac205303676195cad3008c63a239d6,18b7314f8bd86f72fd9a78a039518f29b06729f495239e66963f71c1dd9b6f62,13348b3fb49a35cda0b8ea5ac3bf9cb94e3263192bcaa3b9b4f617be22c2a1aa
34,1,northeast_final_test_v1,lasius-claviger,final_test,Lasius claviger,222712,90f7c4a4-faf6-454c-b38a-023f9e7b7a2b,165641601,5417eead29145af6be5a6a3256ea9cd6ece4c06302a8344693b7e68c808756b9,20cfb56e73914ed84595f52eadb24de02287337c86269d73dbbcc2730ca98872,1348f2190a4603e47ee6894e6843fdf66c49efc56c40681f6f40ae8fa94b5990
35,1,northeast_final_test_v1,nylanderia-flavipes,final_test,Nylanderia flavipes,372712,f8ffa1fb-f306-4115-82b1-375b23e6157b,46461692,c6ab61cbcfdfbb8c4eec962067f9fdb6a88a13a832336953c1e108ec11effeb1,d0d8f086ad59fc1827f68b5e95d8abf30539184089fd5f4a5027eacb0667dce9,13f18d2b6fecf47931c8baa080b8c5d40300e9797aff31b853519e8cbbf134a9
36,1,northeast_final_test_v1,lasius-aphidicola,final_test,Lasius aphidicola,1032788,4b5f6426-3b43-4ff7-9452-e334397ac429,594827937,4e12445f207e17eb5c9d75984207761b5d400e64c5126afd608fa187bf1c9a8a,34339de61ceedae57cfa0e26e617352a52a396aed64cac3a57a0a7f0c7fcfac3,1414ac0f91f7f5ece4efca3618adc43a8a07451698543f21a463d691aa18ed65
37,1,northeast_expansion_v1,lasius-emarginatus,development,Lasius emarginatus,341143,39fac1d5-e42c-4d61-b11e-c473276c9934,493256023,841ecf495a46f090db6960114de2f62ae408e5aea64af17c65112f61c3553fc9,0bb3a84193a71808944f1744caf0dd29ffeda880829acd424f0f556861bc567c,145a756fc011eaf10c9cd21066fe66cba06f6ee8e8ec0dec5b9d06c9780c7f79
38,1,northeast_final_test_v1,lasius-neoniger,final_test,Lasius neoniger,69311,1d1440f3-bbc9-4666-857c-5e1dbb2e5ab5,572433922,963de5e98ac4664d70a723d4e67c8bf75995c93c79a839f3ffecd2bd43a82480,9bfecc2bf8fd46fc50693944abf1e31763fe3c9401bb2153b30ff8b316c78ee9,14a4d3288e60d773387a2eef34f83e333f349394a400a0a29e1d4ddc5dcf3539
39,1,northeast_expansion_v1,lasius-americanus,development,Lasius americanus,966095,9e331a05-783a-4c6c-a398-d6e9eb6b7cf0,415201920,ba61445daa2993b7f50ef65a143b1624d9d6b653f66a60ee1ff4a92093414b4b,121711c959ff655168176d9a992a0a4bc59db5b64782bf0d906e1260105eb9c5,1536d69556676c602db8418bdaa3acbd02e8726ad5a43a951243edbfa17ccb3f
40,1,northeast_final_test_v1,lasius-americanus,final_test,Lasius americanus,966095,5049942a-f4bb-434b-876d-d5e230e2b1c6,514262939,9c4bb8beba463322c56cbe0209e4996e10ce0ba03378447c37039d9044e98368,c4af0a861e6e87439609dbaf79594d982909dd58804978ac9b407607225671eb,1548cfb3e8ff4f3b40d662fab11b3e9a45c0fe64e681b9e484ed870f0f960b09
41,1,northeast_final_test_v1,lasius-emarginatus,final_test,Lasius emarginatus,341143,4669819e-6576-44c4-9a77-b442eaee8d2c,381510906,00dcb8a936961ab9ebd4887f293cf2dd4e7b51b232c02b322a03cb4b6de762dd,b3b9357a3b0accbd6c592232bfdadd8be2aebbd75117334efed40b12eed50aa6,15e88c6e4d88b79859d2a237efcede5cd8942c705be615625200c6e3ace779fb
42,1,northeast_final_test_v1,formica-exsectoides,final_test,Formica exsectoides,133654,68e84351-78d2-48a7-a67d-b9c0c2b0867e,193341265,d7fc56ee79a0072212bc3834bab767e4f63f9125fc308c25ad800c15d0239cc2,d3dc00523c34ee69a2ef501e7d2a7e57294c89f7833d47f8ec7e6e7ade8b70a0,162bc74eed9279bab33e66f1e587c2897a71684ef9758266945432ae90ea4565
43,1,northeast_final_test_v1,lasius-neoniger,final_test,Lasius neoniger,69311,ffcad598-6109-448e-b2f6-85e649892564,487975475,07ca4c4a12424b9637603ec5a354ecea50ba554bfcc4a9a9358b7bddc2ea4594,1e84b85756a0f99bdd1f372ff77d22bb8cbec3a9149514f38b4e111260883ffe,16a87cf084b5abf12a4f3b6f23c1bdcfc66d0d44889cf4efbd05cab45778906d
44,1,northeast_expansion_v1,camponotus-nearcticus,train,Camponotus nearcticus,146942,bfa84348-985d-4287-a336-df876ee92c0d,208522818,4d530ba4d151e88d2052a110ccf725dd8734f737b895355c4bac66f81726260b,04e6117cacc140be4ba6c18b08fd3150ce1b58f0d488ec8fa7bf5481edb94365,174a7fce892de5084849affce42f3b930a3f4c2146c774cabebd0fd69e412363
45,1,northeast_final_test_v1,camponotus-subbarbatus,final_test,Camponotus subbarbatus,143505,58a59b47-f591-4eba-8304-03ca046debe0,198321742,10dd239a8123dc33b63d6e951572dee9fe3e6f0b63f0e3956dbfd9a6653edf53,d3660ce5afe982adaa7ab05fe687d4d1950bb2dfc882874eeb5f9a1d9a6a6d50,18370725a53898e49b52e6717370cbdab3fcc42c6bd4fbe30ded110e89f4c563
46,1,northeast_final_test_v1,camponotus-americanus,final_test,Camponotus americanus,215970,ebfe8406-ad1f-488b-a5f9-7a48510539a2,425811521,21f242361c0655dded91dc1bfb022e5395da342016d29cf63eae2d1553f691bc,9e1031eb83750ab3fe346b3e895b3f6639e6a1301eac1a915c3bcb08e3f14326,1869421be03c0dc967b6e45be599e8648cf8b1d8279413011c7d5d38f5b5a910
47,1,northeast_expansion_v1,formica-exsectoides,development,Formica exsectoides,133654,8b5a1f76-efaf-427b-b4e3-e4fdb8a3b132,430458829,ce04e20b7e4882381930ba7847755c3c7e29929647040fb6999fe627f6ad2fda,396af86d1f432b61f060405c7bac90c9235f76866112c89f8a481643d4789403,18a3b75785b2dbcd0391b3a6d54549c12a05fcbdf8a9a47027328614a2d71ec6
48,1,northeast_final_test_v1,lasius-neoniger,final_test,Lasius neoniger,69311,6026cf74-c8ea-46c2-a09c-a1be9b842ae6,441072253,9043f96829336cfc8fb27b8d5cab366a4e75faace8facb87b61ed0d3e44e633d,acdd97abf691dfe9add2191d6f660ae72b474ad3d673d6c1035f0868eb236bff,18aa9051ff1590464c21be85360a0bfb3c5e9c4a3d9bf57049c3ed9bb0d5705c
49,1,northeast_expansion_v1,temnothorax-curvispinosus,train,Temnothorax curvispinosus,232366,9d23654d-19d7-4890-b744-08bef1f43fee,64494522,e6d8932346b2a67361c700211ceef988e9dbd1b9faceb72423f0446331e9931a,0688b0e118fab4c440fd543c6950de623eb6fa2cfab813c2a7d03a1476da98e4,1912bfa5aa1cb16fe4a39e1090952f961ccc3f2f371bb53747a532cf69979189
50,1,northeast_final_test_v1,aphaenogaster-rudis,final_test,Aphaenogaster rudis,213893,74052d9e-a933-4b63-9cbd-a6c1034c9f91,397964412,1534296a2976734846b9af742c099b7774d13fc331df8da3b9fac152205884c8,47f87b0db82ac9cd8f919ba9abfdfcdac44e60a0743565cc94eeedb8ce1ddb91,1923c06626ab7f9985750cc59562d6af79fac2971209eaebae12e324195f9cfe
51,1,northeast_expansion_v1,camponotus-americanus,train,Camponotus americanus,215970,f3cbefbe-24f0-411b-9edf-1d6d3fe06340,313605717,a6a298f965b057c5d87ffa8b0c98cbd4d7808e9ec3bbbc33d5ad6f6ee0dddf02,0658410b6a106100ceb349ee5e96e681c6958823c61c7001437bf13310355122,1a2fee65253737c54126352e0e7f1479eda4436422ccfa30120384954d65cd36
52,1,northeast_final_test_v1,aphaenogaster-rudis,final_test,Aphaenogaster rudis,213893,2169bd9c-3021-422f-b56f-3e84d44f262a,281334397,c60c8e71e4c05563046e856529651989cb4a6a30b9f631b4805a51d9adb5b8b6,c25d7652bc6c1bef158e75b4787c9bad4e45d96c032cf2535b22593c9900c47a,1a504b79d7bf808e1aea291706dab708d4f6574b7621049a24255513f7c3373e
53,1,northeast_expansion_v1,temnothorax-curvispinosus,train,Temnothorax curvispinosus,232366,ecb02d9a-c6ba-4244-aff2-f974566895e3,303616330,4d273d153733bb84542be13bee65adc510fe0d4ba0aea620e315adf65e4eb77f,02f0e411644d9ec4190d750fe27f0513c639cbad8169d9251a4fe15d3579ec38,1a740105ea90b77d86b9fcded4fc4981984969370039f706a7018a5a5867e233
54,1,northeast_expansion_v1,lasius-neoniger,development,Lasius neoniger,69311,1e7586f8-974f-46ab-9211-3c9e9e9e0180,671628388,38dcfe70c57208c9310116ec6a6a9847dcea97a2256f3f538934ea906af76aad,1a3a5d46b26584774e443211a6b208447d9e7879a3654d8229e3b8cc07d1eada,1aac83e217f84086379635e8c1adb66fa87713e803304b30ec38393b736ff849
55,1,northeast_final_test_v1,camponotus-americanus,final_test,Camponotus americanus,215970,49510a3e-f673-40a2-986b-1b9bc24054fe,130102910,b59ed893646c46a19fd970c9a0ae11b22990b8aecd9d285b55c6aa3c73cb25a9,55546f5867c8b7b3691a9ac1edc820f89df04e21283744049a5a29a4e78e89cc,1b90c7291be02ee173be43ba6a590483cead985455d06f0a2a3fd71f7f7d0c77
56,1,northeast_final_test_v1,lasius-emarginatus,final_test,Lasius emarginatus,341143,03706162-862b-4448-8168-01745010b394,506020472,21e700794fdd788f351eaf28b4a9bc4eef96de8e6d57e07243e669c28f997246,ec03626e8a85c9ad77ce98ed08bad0ba17dedef262f04d232ef9cded4d7c44ea,1bfc6608bf872e4fc672728c37e4a0539a9c7a7fe3705565b310f33af2b56d52
57,1,northeast_expansion_v1,camponotus-nearcticus,development,Camponotus nearcticus,146942,3cd52a84-b06f-4dfb-a359-70c9cd817f7e,269684193,3a44e643f86cee73cb0daba05dc1d086f6113394f48f30d4c54f08ae1c68614e,0a4e02a742b02b174320704fd0eb1e3457920fcfeb18fe5f5b3a9f603b3b4aa5,1c10f6f047c599c23e18ee5120fc689904edccd4c2630ba34a58ab95dae34753
58,1,northeast_final_test_v1,lasius-aphidicola,final_test,Lasius aphidicola,1032788,94e2e03f-b63e-442f-960a-fb7bd87a06ce,235552002,1ce9977fae8c98cc87558e36e774d864db504e2fe85f679736eb58f1f4ac4a35,11a387b4a8c547096ceb4e45ff26ad9067454ab62409c12abb47df819d13ef31,1c19f69f77da43c38936a61c0cd4d4872734846d6d37a0a3ee7be0cab9e5b7f1
59,1,northeast_final_test_v1,aphaenogaster-rudis,final_test,Aphaenogaster rudis,213893,95fb10ae-0486-4200-b29a-6f01ba050182,304375344,ce19d072629f511d7070d25c2ec9546a6bcfe425a018c2dfdeb8464b73ccbbd3,7b78cb03ec9453031a2ab47bbe0a1116829ebd8e0d605f6523a50723bdfb0083,1c702b466c8ca0946a6ecb6caa234efda4205407a8747c42fbc2dee7b4392122
60,1,northeast_final_test_v1,camponotus-americanus,final_test,Camponotus americanus,215970,c23c2fb2-07f6-4337-9dfd-283471888559,659084221,defdc7c709e696802d13e8905a4f535006e50f073a1c58925f87e9be798bc709,9a7f1d54a658a94ec02696cf016ee3403479b65f38bc22a3b93eae9262f4c267,1cd5ba9cdfa5f793463bcf3ed0ed13c0f6d67ed927a85334fc7a775f9ea1e21f
61,1,northeast_expansion_v1,camponotus-novaeboracensis,train,Camponotus novaeboracensis,143252,136b43d2-4d19-4081-b872-7f80baa820f2,168460952,2ee2bbb4caf74d5f7c2416b42239464f3b90b419feb75b3b17f8c2d6c0e851eb,055529b1ec53dc96f1fca7fbab08c7a0bff676f1422303f44286b88d457b6680,1dbf501d0bbeab697279d06fb4ccfe2602c8b14af3539b182f5dc927e860a62c
62,1,northeast_final_test_v1,camponotus-nearcticus,final_test,Camponotus nearcticus,146942,aba449be-cb32-4575-a697-fcb4ad3f39b2,81497515,8af97b1df846fae2592738de3a9669f85d8970d8847a96541b6ea8e9a9b15b8e,e356949fdf8e6dc85e4eda7cbcadc2baff7e9b6329e6d14b1460ef2bfd0fcc1e,1e24c4cb1548bf6748a59a7630a752d8979fe9f656119902de26dfcc5f4a0fd0
63,1,northeast_final_test_v1,camponotus-subbarbatus,final_test,Camponotus subbarbatus,143505,f6e42d11-9e19-4eaa-874e-8e6119246e85,503923311,900e1a66e69ac10d19e6aaccd1a1d31696dafac46ec5ff63500a6c043c3ab151,b8d5b5357abf27f45c944a52b2264d82aeccb8b419ff3820fb7143964bee380e,1e3eed64db5126baf8c658f32dd6d27368c2e6a7540a2a771d7cc7b7022f07fd
64,1,northeast_expansion_v1,lasius-emarginatus,development,Lasius emarginatus,341143,c5fe0cae-b9c8-4988-bf92-d31eb9b2f79e,482849136,b603cab526af7c59b009b97b2009b76065f620bb0414e8b3c13b8e198f91ca61,011dfaf6b1c814840bf1d4946e221ffefcd7bb9c2b8affea6516592909dfe844,1e6d14a652be87841d223be02022ad048d9d6e7f8b0ebcdfe0f9035e8840b31e
65,1,northeast_final_test_v1,aphaenogaster-rudis,final_test,Aphaenogaster rudis,213893,972ed5a0-bbed-410f-a374-973330dfde08,693040656,ecd3dae26abad3535d19bb047ab43c08f7a18c975b9cf38e3c6c272aee1d753b,8544759829c0207e1d5e698922808f18dfd1f3a17155322449055a609f3db85b,1e906bcd13d64e993c48f957da70676f215632c7f6f92570672814e7aa10e83c
66,1,northeast_final_test_v1,lasius-aphidicola,final_test,Lasius aphidicola,1032788,7c5a7ed5-f398-4ea3-96f7-a3ba5b3e5647,73179039,896f8139835a56b18b1c2b0849fde714d1b699019cf607fab53a81c1538c3577,535cbe224e58d92ae9a6d1e8e388ee990d2962b8d8c34f0095a1dad4f4dded71,1eac8668c3e35ca9c67504e928abb2dee66dc274fdf9ed6548c2b767d925c36d
67,1,northeast_final_test_v1,lasius-aphidicola,final_test,Lasius aphidicola,1032788,7f37ad53-a3f1-4ebe-866d-8a6d04eebf80,566394142,d449d4ecef97486b15116cd71f13481e6afb54b0d78216e2e05d2640f763f3f0,5f8e857b945ae0c7da498c5c52d55d347560306354c1ba0b0f674507c6ca40bd,219c0778fd03c8783aa8f15e4e86764d67366ba4bb9821c79ab14d45e540e2b0
68,1,northeast_expansion_v1,lasius-claviger,train,Lasius claviger,222712,cd191658-fb18-468f-95ec-261c0405cb5a,567134140,837331b91eabd4286f097d44c08edf14e139c95e32c213e61da13a946572ba48,04d92dc9345961ac9789fa107372ab31acbab93c7ffd5d0cd9e90d499ff7270b,21ed86247a583ceb37ae51a762fb64a98e9378539e809f13eb1ddfe738b0fe68
